Street,City,State,State_name,Zip_code,LON,LAT
SARA WAY,BELLE VERNON,PA,Pennsylvania,15012,-79.8448,40.1378
CAVASINA DR,CANONSBURG,PA,Pennsylvania,15317,-80.175,40.2619
WASHINGTON RD,CANONSBURG,PA,Pennsylvania,15317,-80.1273,40.2726
VALLEY BROOK RD,CANONSBURG,PA,Pennsylvania,15317,-80.0836,40.2808
WASHINGTON PIKE,BRIDGEVILLE,PA,Pennsylvania,15017,-80.1041,40.3673
LIBRARY RD,BETHEL PARK,PA,Pennsylvania,15102,-80.0273,40.3434
GREENTREE RD,PITTSBURGH,PA,Pennsylvania,15220,-80.0662,40.3946
POPLAR ST,CRAFTON,PA,Pennsylvania,15205,-80.053,40.4272
TOWNE SQUARE WAY,PITTSBURGH,PA,Pennsylvania,15227,-79.9833,40.3679
BROWNSVILLE RD,PITTSBURGH,PA,Pennsylvania,15210,-79.9866,40.3917
CLAIRTON BLVD,PITTSBURGH,PA,Pennsylvania,15236,-79.9511,40.3377
FEDERAL ST,PITTSBURGH,PA,Pennsylvania,15212,-80.007,40.4564
E CARSON ST,PITTSBURGH,PA,Pennsylvania,15203,-79.9774,40.4284
BEECHWOOD BLVD,PITTSBURGH,PA,Pennsylvania,15217,-79.9379,40.4272
BAUM BLVD,PITTSBURGH,PA,Pennsylvania,15213,-79.9496,40.454
MAIN ST,HOMESTEAD,PA,Pennsylvania,15120,-79.9046,40.3822
ROUTE 70,MCKEESPORT,PA,Pennsylvania,15132,-79.841,40.3383
LONG RUN RD,WHITE OAK,PA,Pennsylvania,15131,-79.8102,40.3368
ARDMORE BLVD,PITTSBURGH,PA,Pennsylvania,15221,-79.8483,40.4169
PLAZA CT,KINGWOOD,WV,West Virginia,26537,-79.6683,39.4677
E MAIN ST,KINGWOOD,WV,West Virginia,26537,-79.6706,39.4686
MORGANTOWN ST,UNIONTOWN,PA,Pennsylvania,15401,-79.7372,39.8868
DANIEL DR,UNIONTOWN,PA,Pennsylvania,15401,-79.7579,39.9028
OLIVER RD,UNIONTOWN,PA,Pennsylvania,15401,-79.7259,39.9266
& 381,FARMINGTON,PA,Pennsylvania,15437,-79.5661,39.8072
NATIONAL PIKE,FARMINGTON,PA,Pennsylvania,15437,-79.566,39.8071
HIGHLAND AVE,CONNELLSVILLE,PA,Pennsylvania,15425,-79.5934,40.0245
CROSSROADS PLZ,MT PLEASANT,PA,Pennsylvania,15666,-79.5546,40.1229
STATE ROUTE 30,IRWIN,PA,Pennsylvania,15642,-79.6961,40.3221
HIGHLAND AVE,NEW STANTON,PA,Pennsylvania,15672,-79.6102,40.22
ROUTE 30,IRWIN,PA,Pennsylvania,15642,-79.6607,40.3112
WILLIAM PENN HWY,MONROEVILLE,PA,Pennsylvania,15146,-79.7884,40.4355
HIGHWAY 22,MONROEVILLE,PA,Pennsylvania,15146,-79.729,40.4305
ROUTE 130,HARRISON CITY,PA,Pennsylvania,15636,-79.6514,40.3552
CANDEE ST,GREENSBURG,PA,Pennsylvania,15601,-79.5545,40.2767
E PITTSBURGH ST,GREENSBURG,PA,Pennsylvania,15601,-79.4998,40.3027
& CEDAR ST,LATROBE,PA,Pennsylvania,15650,-79.394,40.2945
N CENTER AVE,SOMERSET,PA,Pennsylvania,15501,-79.0779,40.0223
STATE ROUTE 30,LATROBE,PA,Pennsylvania,15650,-79.358,40.2899
CORPORATE CAMPUS DR,BLAIRSVILLE,PA,Pennsylvania,15717,-79.2294,40.4444
MINNO DR,JOHNSTOWN,PA,Pennsylvania,15905,-78.9562,40.3242
SAINT CLAIR AVE,EAST LIVERPOOL,OH,Ohio,43920,-80.5736,40.6558
BRODHEAD RD,ALIQUIPPA,PA,Pennsylvania,15001,-80.2821,40.6064
JOHNSON AVE,BADEN,PA,Pennsylvania,15005,-80.2286,40.6328
BRODHEAD RD,MONACA,PA,Pennsylvania,15061,-80.3021,40.681
OHIO RIVER BLVD,ROCHESTER,PA,Pennsylvania,15074,-80.2717,40.6987
N MARKET ST,EAST PALESTINE,OH,Ohio,44413,-80.54,40.836
SHENANGO RD,BEAVER FALLS,PA,Pennsylvania,15010,-80.3756,40.7746
UNIVERSITY BLVD,CORAOPOLIS,PA,Pennsylvania,15108,-80.2226,40.5073
FOREST GROVE RD,MC KEES ROCKS,PA,Pennsylvania,15136,-80.1018,40.4669
FOREST GRV,MC KEES ROCKS,PA,Pennsylvania,15136,-80.1018,40.4669
LINCOLN AVE,BELLEVUE,PA,Pennsylvania,15202,-80.0552,40.4951
